longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-118.36,34.05,42.0,1372.0,,674.0,271.0,2.8793,<1H OCEAN
-120.93,37.73,14.0,2799.0,,2294.0,596.0,2.6343,INLAND
-124.0,40.92,29.0,1429.0,,672.0,266.0,2.9485,<1H OCEAN
-117.98,33.68,24.0,4177.0,,1704.0,606.0,6.2473,<1H OCEAN
-118.26,33.83,24.0,3059.0,,2064.0,629.0,3.5518,<1H OCEAN
-122.41,38.16,37.0,1549.0,,863.0,275.0,2.7457,NEAR BAY
-121.95,38.03,5.0,5526.0,,3207.0,1012.0,4.0767,INLAND
-118.28,34.06,42.0,2472.0,,3795.0,1179.0,1.2254,<1H OCEAN
-118.17,34.06,43.0,464.0,,416.0,120.0,2.475,<1H OCEAN
-120.67,40.5,15.0,5343.0,,2503.0,902.0,3.5962,INLAND
-122.14,37.67,37.0,3342.0,,1635.0,557.0,4.7933,NEAR BAY
-119.68,36.79,16.0,1551.0,,1010.0,292.0,3.5417,INLAND
-116.91,32.83,16.0,5203.0,,2515.0,862.0,4.105,<1H OCEAN
-118.35,33.9,31.0,1547.0,,956.0,287.0,3.4698,<1H OCEAN
-122.7,38.35,14.0,2313.0,,954.0,397.0,3.7813,<1H OCEAN
-122.28,37.51,33.0,4719.0,,1980.0,757.0,6.1064,NEAR OCEAN
-117.66,33.51,18.0,2626.0,,1302.0,522.0,4.0167,<1H OCEAN
-118.09,33.89,42.0,991.0,,717.0,219.0,4.0926,<1H OCEAN
-118.46,34.03,52.0,523.0,,317.0,130.0,2.2794,<1H OCEAN
-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,INLAND
-117.91,33.87,29.0,1121.0,,762.0,276.0,2.5,<1H OCEAN
-118.27,34.07,27.0,1190.0,,1795.0,422.0,1.7016,<1H OCEAN
-118.27,34.04,13.0,1784.0,,2158.0,682.0,1.7038,<1H OCEAN
-118.27,34.17,52.0,2010.0,,908.0,326.0,6.9135,<1H OCEAN
-117.14,33.16,16.0,1660.0,,733.0,214.0,5.6874,<1H OCEAN
-122.72,38.88,29.0,2781.0,,890.0,310.0,1.9906,INLAND
-121.47,38.61,31.0,1072.0,,781.0,281.0,1.6563,INLAND
-119.18,34.19,19.0,2393.0,,1938.0,762.0,1.6953,NEAR OCEAN
-118.59,34.2,21.0,1789.0,,2300.0,677.0,2.754,<1H OCEAN
-122.22,38.08,37.0,2811.0,,1574.0,516.0,3.1053,NEAR BAY
-121.97,37.34,33.0,3162.0,,1553.0,686.0,3.6682,<1H OCEAN
-117.14,32.71,52.0,500.0,,480.0,108.0,1.8696,NEAR OCEAN
-119.75,36.71,38.0,1481.0,,1543.0,372.0,1.4577,INLAND
-121.3,38.58,16.0,1537.0,,1125.0,375.0,2.6471,INLAND
-117.76,34.04,34.0,1914.0,,1564.0,328.0,2.8347,INLAND
-122.45,37.77,52.0,2602.0,,1330.0,647.0,3.5435,NEAR BAY
-117.15,32.72,51.0,1321.0,,781.0,499.0,1.3071,NEAR OCEAN
-122.08,37.88,26.0,2947.0,,825.0,626.0,2.933,NEAR BAY
-117.87,33.73,45.0,2264.0,,1970.0,499.0,3.4193,<1H OCEAN
-117.67,34.04,13.0,1543.0,,776.0,358.0,3.0598,INLAND
-117.66,33.58,6.0,4186.0,,1794.0,541.0,9.6986,<1H OCEAN
-117.27,32.85,26.0,1373.0,,608.0,268.0,4.425,NEAR OCEAN
-117.02,32.66,19.0,771.0,,376.0,108.0,6.6272,NEAR OCEAN
-118.05,33.99,38.0,1619.0,,886.0,357.0,3.7328,<1H OCEAN
-117.92,33.87,33.0,1597.0,,1888.0,423.0,3.055,<1H OCEAN
-118.31,34.09,37.0,773.0,,835.0,312.0,1.8576,<1H OCEAN
-118.38,34.05,49.0,702.0,,458.0,187.0,4.8958,<1H OCEAN
-121.95,37.31,27.0,4140.0,,2135.0,893.0,3.6292,<1H OCEAN
-120.98,37.6,36.0,1437.0,,1073.0,320.0,2.1779,INLAND
-122.28,37.78,29.0,5154.0,,3741.0,1273.0,2.5762,NEAR BAY
-118.23,34.13,48.0,1308.0,,835.0,294.0,4.2891,<1H OCEAN
-119.11,35.42,52.0,154.0,,37.0,16.0,10.0263,INLAND
-121.89,37.44,8.0,2534.0,,1527.0,364.0,7.8532,<1H OCEAN
-121.44,38.54,39.0,2855.0,,1217.0,562.0,3.2404,INLAND
-118.37,34.03,37.0,1236.0,,966.0,292.0,3.0694,<1H OCEAN
-118.1,33.91,36.0,726.0,,490.0,130.0,3.6389,<1H OCEAN
-118.5,34.17,37.0,880.0,,369.0,155.0,4.1429,<1H OCEAN
-117.96,33.78,33.0,1520.0,,658.0,242.0,4.875,<1H OCEAN
-117.86,34.01,16.0,4632.0,,3038.0,727.0,5.1762,<1H OCEAN
-122.79,38.48,7.0,6837.0,,3468.0,1405.0,3.1662,<1H OCEAN
-118.31,33.94,40.0,1550.0,,798.0,270.0,3.775,<1H OCEAN
-122.44,37.73,39.0,1912.0,,970.0,406.0,4.7813,NEAR BAY
-118.32,34.09,44.0,2666.0,,2297.0,726.0,1.676,<1H OCEAN
-116.93,32.79,19.0,3354.0,,1948.0,682.0,3.0192,<1H OCEAN
-119.44,36.58,37.0,1054.0,,879.0,257.0,2.5234,INLAND
-117.3,34.05,6.0,2155.0,,1039.0,391.0,1.6675,INLAND
-118.29,33.73,30.0,3161.0,,1865.0,771.0,2.7139,NEAR OCEAN
-118.4,34.17,24.0,6347.0,,2945.0,1492.0,3.3545,<1H OCEAN
-119.78,36.82,25.0,5016.0,,2133.0,928.0,3.625,INLAND
-117.73,34.1,37.0,3457.0,,1344.0,530.0,5.8891,INLAND
-118.18,34.19,48.0,1371.0,,528.0,155.0,15.0001,<1H OCEAN
-122.5,37.75,45.0,1620.0,,941.0,328.0,4.3859,NEAR OCEAN
-120.32,37.29,38.0,576.0,,478.0,112.0,2.3382,INLAND
-122.65,38.25,23.0,4030.0,,1852.0,778.0,3.402,<1H OCEAN
-117.28,34.26,18.0,3895.0,,1086.0,375.0,3.3672,INLAND
-122.16,37.77,47.0,1256.0,,570.0,218.0,4.375,NEAR BAY
-119.73,34.44,38.0,1729.0,,801.0,395.0,3.1364,NEAR OCEAN
-122.48,38.5,37.0,3049.0,,1287.0,439.0,4.3125,INLAND
-118.88,34.17,15.0,4260.0,,1701.0,669.0,5.1033,<1H OCEAN
-122.15,37.43,20.0,11709.0,,7604.0,3589.0,1.9045,NEAR BAY
-117.01,32.74,31.0,3473.0,,2098.0,677.0,2.6973,<1H OCEAN
-118.21,34.07,52.0,1770.0,,1848.0,439.0,2.4135,<1H OCEAN
-118.36,34.05,45.0,2283.0,,1093.0,475.0,2.5658,<1H OCEAN
-118.53,34.26,18.0,3674.0,,1590.0,550.0,8.176,<1H OCEAN
-118.19,33.98,36.0,4179.0,,4582.0,1196.0,2.0087,<1H OCEAN
-122.4,37.58,26.0,3281.0,,1145.0,480.0,6.358,NEAR OCEAN
-122.38,37.73,40.0,543.0,,259.0,89.0,2.2167,NEAR BAY
-121.08,39.22,30.0,2188.0,,1033.0,437.0,2.1419,INLAND
-117.28,34.09,44.0,376.0,,273.0,107.0,2.2917,INLAND
-118.29,34.05,34.0,1102.0,,1325.0,439.0,1.5972,<1H OCEAN
-121.33,38.02,31.0,1466.0,,608.0,254.0,3.1827,INLAND
-118.05,34.04,33.0,1348.0,,1098.0,257.0,4.2917,<1H OCEAN
-118.16,34.01,40.0,1552.0,,1919.0,427.0,2.2596,<1H OCEAN
-121.9,36.58,31.0,1431.0,,704.0,393.0,3.1977,NEAR OCEAN
-117.65,33.6,15.0,5736.0,,2529.0,762.0,6.4114,<1H OCEAN
-117.92,33.7,15.0,3201.0,,1510.0,622.0,4.2708,<1H OCEAN
-117.87,33.83,27.0,2287.0,,1140.0,351.0,5.6163,<1H OCEAN
-120.61,37.36,16.0,638.0,,380.0,132.0,1.9135,INLAND
-118.25,33.95,28.0,2136.0,,1799.0,476.0,1.5427,<1H OCEAN
-116.66,32.79,13.0,843.0,,918.0,152.0,6.2152,<1H OCEAN
-118.07,34.1,32.0,4275.0,,2812.0,1012.0,3.3512,<1H OCEAN
-118.55,34.28,16.0,8879.0,,3468.0,1200.0,8.1125,<1H OCEAN
-121.85,36.61,38.0,238.0,,191.0,67.0,1.3897,<1H OCEAN
-122.42,40.44,16.0,994.0,,495.0,181.0,2.1875,INLAND
-119.75,34.45,6.0,2864.0,,1404.0,603.0,5.5073,NEAR OCEAN
-118.8,34.41,45.0,1610.0,,1148.0,347.0,2.7,<1H OCEAN
-119.3,36.57,32.0,728.0,,461.0,149.0,3.0156,INLAND
-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,<1H OCEAN
-121.88,37.4,9.0,6751.0,,4240.0,1438.0,5.34,<1H OCEAN
-121.9,37.28,26.0,3756.0,,1408.0,535.0,5.6427,<1H OCEAN
-117.17,32.75,52.0,1052.0,,381.0,201.0,3.0726,NEAR OCEAN
-117.2,33.24,12.0,4992.0,,2106.0,801.0,6.2079,<1H OCEAN
-117.64,33.45,26.0,1528.0,,607.0,218.0,6.2871,NEAR OCEAN
-122.1,40.03,25.0,2516.0,,1266.0,494.0,1.7566,INLAND
-114.59,34.83,41.0,812.0,,375.0,158.0,1.7083,INLAND
-122.23,38.17,45.0,350.0,,225.0,72.0,1.8942,NEAR BAY
-117.31,34.25,29.0,4610.0,,1569.0,592.0,2.7663,INLAND
-121.77,39.66,20.0,3759.0,,1705.0,600.0,4.712,INLAND
-119.72,36.76,23.0,6403.0,,3573.0,1260.0,2.3006,INLAND
-122.01,37.94,23.0,3741.0,,1339.0,499.0,6.7061,NEAR BAY
-121.75,37.11,18.0,3167.0,,1414.0,482.0,6.8773,<1H OCEAN
-117.02,32.78,31.0,2567.0,,1198.0,499.0,3.4659,<1H OCEAN
-121.97,37.35,30.0,1955.0,,999.0,386.0,4.6328,<1H OCEAN
-119.69,36.83,32.0,1098.0,,726.0,224.0,1.4913,INLAND
-118.25,33.94,43.0,793.0,,736.0,231.0,0.8527,<1H OCEAN
-117.97,34.06,31.0,2516.0,,2194.0,497.0,3.2413,<1H OCEAN
-118.3,34.07,18.0,3759.0,,3296.0,1462.0,2.2708,<1H OCEAN
-122.0,37.36,17.0,2070.0,,797.0,275.0,8.6155,<1H OCEAN
-118.35,34.01,35.0,3776.0,,1583.0,749.0,3.5486,<1H OCEAN
-118.2,33.92,45.0,1283.0,,1025.0,248.0,3.2798,<1H OCEAN
-122.24,37.75,45.0,891.0,,384.0,146.0,4.9489,NEAR BAY
-117.99,34.14,30.0,2346.0,,1988.0,474.0,2.5625,INLAND
-118.22,34.05,34.0,1113.0,,928.0,290.0,3.1654,<1H OCEAN
-121.19,38.71,11.0,4415.0,,1520.0,627.0,3.2321,INLAND
-119.32,36.25,21.0,1231.0,,609.0,206.0,2.8365,INLAND
-118.56,34.2,35.0,2273.0,,1431.0,403.0,4.0789,<1H OCEAN
-116.21,33.75,22.0,894.0,,830.0,202.0,3.0673,INLAND
-118.49,34.13,24.0,4394.0,,1443.0,528.0,11.2979,<1H OCEAN
-118.23,33.94,36.0,1110.0,,1417.0,302.0,2.3333,<1H OCEAN
-122.48,37.7,33.0,4492.0,,3477.0,1537.0,3.0546,NEAR OCEAN
-117.87,33.62,8.0,1266.0,,375.0,183.0,9.802,<1H OCEAN
-122.53,38.32,22.0,3577.0,,1371.0,501.0,5.795,<1H OCEAN
-122.22,38.15,7.0,5129.0,,2824.0,738.0,5.5138,NEAR BAY
-118.45,34.3,27.0,2676.0,,2661.0,623.0,4.3047,<1H OCEAN
-122.46,37.72,39.0,2254.0,,1388.0,404.0,2.9688,NEAR OCEAN
-120.98,37.66,10.0,934.0,,401.0,255.0,0.9336,INLAND
-120.67,37.37,18.0,164.0,30.0,104.0,32.0,1.6607,INLAND
-118.01,33.89,34.0,1653.0,292.0,1003.0,310.0,4.6,<1H OCEAN
-121.97,36.97,15.0,2849.0,668.0,1546.0,582.0,2.7587,NEAR OCEAN
-118.25,33.98,47.0,617.0,162.0,754.0,144.0,2.2969,<1H OCEAN
-121.81,37.38,29.0,570.0,76.0,244.0,72.0,12.3292,<1H OCEAN
-118.36,33.89,34.0,760.0,174.0,723.0,198.0,5.3169,<1H OCEAN
-117.28,33.1,13.0,2644.0,422.0,1197.0,399.0,6.5338,NEAR OCEAN
-122.25,38.1,52.0,1591.0,372.0,817.0,357.0,2.1411,NEAR BAY
-118.15,34.15,49.0,806.0,199.0,698.0,172.0,2.3654,<1H OCEAN
-118.27,34.08,35.0,1147.0,365.0,1016.0,296.0,2.3913,<1H OCEAN
-119.31,36.39,32.0,2293.0,466.0,1538.0,468.0,1.9342,INLAND
-122.07,37.39,30.0,1695.0,480.0,932.0,447.0,3.5045,NEAR BAY
-118.27,34.0,46.0,1748.0,428.0,1707.0,409.0,2.148,<1H OCEAN
-119.99,38.88,17.0,2807.0,529.0,675.0,251.0,2.7457,INLAND
-121.2,38.7,28.0,2970.0,471.0,1379.0,463.0,4.3214,INLAND
-122.42,37.74,52.0,2019.0,418.0,999.0,448.0,4.2212,NEAR BAY
-117.29,34.14,52.0,1683.0,266.0,646.0,256.0,4.0481,INLAND
-123.8,39.44,52.0,1533.0,336.0,754.0,340.0,1.9213,<1H OCEAN
-122.7,38.35,14.0,1555.0,369.0,493.0,335.0,1.6033,<1H OCEAN
-118.3,34.19,52.0,1704.0,277.0,746.0,262.0,4.7986,<1H OCEAN
-116.09,34.15,13.0,9444.0,1997.0,4166.0,1482.0,2.6111,INLAND
-117.7,33.62,19.0,2957.0,492.0,1639.0,495.0,5.0686,<1H OCEAN
-117.23,32.74,44.0,1404.0,229.0,513.0,217.0,4.1806,NEAR OCEAN
-118.45,34.0,46.0,1777.0,362.0,896.0,334.0,4.45,<1H OCEAN
-118.42,34.0,33.0,1139.0,299.0,734.0,257.0,3.2708,<1H OCEAN
-118.31,34.02,46.0,2217.0,489.0,1227.0,448.0,1.6851,<1H OCEAN
-122.43,37.77,52.0,1760.0,366.0,742.0,318.0,4.445,NEAR BAY
-121.08,38.9,27.0,3436.0,755.0,1568.0,709.0,2.4273,INLAND
-119.63,36.32,36.0,1518.0,287.0,749.0,255.0,2.2333,INLAND
-122.35,37.53,27.0,2169.0,305.0,905.0,319.0,7.7743,NEAR OCEAN
-118.4,33.88,36.0,1543.0,214.0,474.0,187.0,9.3399,<1H OCEAN
-118.29,33.92,40.0,1935.0,461.0,1616.0,433.0,2.875,<1H OCEAN
-118.36,33.89,40.0,756.0,122.0,371.0,130.0,5.0299,<1H OCEAN
-118.15,33.79,5.0,3700.0,993.0,1657.0,848.0,3.7826,NEAR OCEAN
-117.38,33.97,30.0,2953.0,703.0,1406.0,580.0,2.6895,INLAND
-118.03,34.07,37.0,1091.0,269.0,905.0,242.0,3.1042,<1H OCEAN
-122.28,37.86,52.0,2031.0,450.0,958.0,445.0,1.9327,NEAR BAY
-117.93,33.87,10.0,1277.0,488.0,730.0,417.0,1.4803,<1H OCEAN
-118.12,33.94,33.0,2206.0,393.0,973.0,364.0,4.675,<1H OCEAN
-117.18,32.7,42.0,1691.0,286.0,761.0,281.0,5.1386,NEAR OCEAN
-117.01,32.81,21.0,4203.0,618.0,1620.0,600.0,5.3441,<1H OCEAN
-117.15,32.78,25.0,1577.0,266.0,611.0,284.0,5.25,NEAR OCEAN
-121.27,38.69,16.0,3389.0,597.0,1674.0,568.0,4.4489,INLAND
-121.7,38.65,22.0,1360.0,282.0,808.0,229.0,2.4167,INLAND
-122.82,38.4,40.0,2406.0,423.0,1054.0,426.0,3.8846,<1H OCEAN
-118.17,34.08,39.0,787.0,181.0,731.0,179.0,3.2279,<1H OCEAN
-121.79,38.0,34.0,3090.0,593.0,1588.0,566.0,3.6118,INLAND
-116.15,33.64,10.0,1711.0,499.0,1896.0,443.0,1.6557,INLAND
-118.91,34.28,6.0,6106.0,1134.0,3246.0,1062.0,5.2206,<1H OCEAN
-118.14,34.03,45.0,1569.0,359.0,1203.0,359.0,2.4612,<1H OCEAN
-117.4,34.08,21.0,3622.0,667.0,2503.0,720.0,3.8531,INLAND
-118.25,33.93,36.0,2452.0,734.0,2664.0,667.0,0.9298,<1H OCEAN
-117.03,32.79,17.0,7352.0,1699.0,3331.0,1634.0,2.7006,<1H OCEAN
-120.43,34.89,30.0,1979.0,342.0,999.0,320.0,5.0286,<1H OCEAN
-122.02,37.36,21.0,2471.0,677.0,1486.0,689.0,3.9038,<1H OCEAN
-122.28,37.9,52.0,2318.0,328.0,779.0,312.0,7.1754,NEAR BAY
-118.27,33.82,28.0,1642.0,434.0,1575.0,420.0,4.1292,<1H OCEAN
-120.12,41.4,33.0,2820.0,515.0,976.0,403.0,2.6062,INLAND
-118.39,34.05,42.0,3105.0,559.0,1253.0,531.0,5.222,<1H OCEAN
-118.25,33.97,37.0,794.0,210.0,814.0,213.0,2.2917,<1H OCEAN
-120.95,36.47,52.0,1691.0,301.0,618.0,239.0,3.2292,<1H OCEAN
-117.25,32.99,10.0,4926.0,749.0,1478.0,634.0,7.472,NEAR OCEAN
-117.31,34.05,6.0,7423.0,2111.0,4092.0,1789.0,2.7002,INLAND
-122.22,37.44,32.0,4281.0,501.0,1318.0,484.0,15.0001,NEAR OCEAN
-122.29,37.9,49.0,1283.0,238.0,576.0,236.0,3.3333,NEAR BAY
-118.1,34.06,36.0,1463.0,369.0,1492.0,366.0,3.25,<1H OCEAN
-117.99,33.9,30.0,1677.0,372.0,1021.0,332.0,3.5859,<1H OCEAN
-117.04,32.74,5.0,2878.0,785.0,1727.0,758.0,1.7179,NEAR OCEAN
-118.09,33.77,26.0,5359.0,1508.0,1829.0,1393.0,1.7675,<1H OCEAN
-122.2,38.09,18.0,6860.0,1079.0,3205.0,1058.0,5.2957,NEAR BAY
-120.76,38.47,17.0,1521.0,309.0,607.0,240.0,3.5,INLAND
-117.51,34.02,24.0,7779.0,1835.0,3996.0,1765.0,2.1764,INLAND
-117.3,34.18,19.0,2526.0,381.0,1176.0,381.0,5.5136,INLAND
-118.18,34.08,35.0,2226.0,602.0,2230.0,549.0,2.9167,<1H OCEAN
-119.0,34.19,5.0,3634.0,718.0,1317.0,743.0,4.2917,<1H OCEAN
-121.35,38.4,11.0,2322.0,459.0,1373.0,424.0,3.175,INLAND
-122.24,38.1,49.0,1851.0,356.0,849.0,307.0,2.9432,NEAR BAY
-117.18,32.69,37.0,3112.0,716.0,1304.0,674.0,3.2121,NEAR OCEAN
-119.08,34.17,32.0,166.0,22.0,63.0,29.0,7.3004,NEAR OCEAN
-121.9,37.67,15.0,2130.0,273.0,876.0,285.0,7.2639,<1H OCEAN
-117.65,34.02,9.0,2107.0,411.0,1138.0,389.0,4.4042,INLAND
-122.0,37.4,35.0,1542.0,298.0,1164.0,318.0,5.9145,<1H OCEAN
-118.05,33.71,25.0,4150.0,570.0,1424.0,547.0,8.8281,NEAR OCEAN
-117.98,34.05,35.0,2342.0,426.0,2176.0,416.0,3.7454,<1H OCEAN
-119.16,34.95,14.0,4054.0,787.0,1581.0,579.0,3.0882,INLAND
-117.13,32.81,26.0,2119.0,444.0,1202.0,440.0,3.2308,NEAR OCEAN
-118.25,34.14,30.0,1615.0,570.0,1245.0,544.0,1.8929,<1H OCEAN
-118.26,34.08,45.0,2174.0,627.0,1992.0,557.0,2.5428,<1H OCEAN
-121.33,38.03,10.0,629.0,140.0,635.0,146.0,2.2961,INLAND
-118.15,33.76,36.0,2916.0,785.0,1183.0,749.0,3.5985,NEAR OCEAN
-121.56,39.51,47.0,1064.0,245.0,603.0,190.0,1.3654,INLAND
-121.96,37.41,17.0,3208.0,617.0,2286.0,602.0,5.2937,<1H OCEAN
-116.92,32.79,24.0,4055.0,742.0,2123.0,744.0,4.5224,<1H OCEAN
-118.14,34.71,32.0,1164.0,248.0,588.0,270.0,1.1917,INLAND
-121.7,39.36,37.0,2330.0,495.0,1505.0,470.0,2.0474,INLAND
-118.44,33.88,35.0,2020.0,451.0,724.0,399.0,6.6494,NEAR OCEAN
-117.08,32.68,26.0,3071.0,615.0,2156.0,568.0,2.9318,NEAR OCEAN
-121.26,37.96,43.0,527.0,133.0,367.0,152.0,2.5,INLAND
-122.28,37.5,33.0,6499.0,998.0,2694.0,957.0,7.4787,NEAR OCEAN
-118.28,34.07,14.0,1924.0,926.0,2226.0,792.0,2.2552,<1H OCEAN
-120.38,36.76,25.0,991.0,272.0,941.0,262.0,1.8125,INLAND
-118.94,35.39,13.0,3137.0,417.0,1318.0,397.0,7.7751,INLAND
-117.87,33.86,28.0,2292.0,531.0,2197.0,509.0,3.4856,<1H OCEAN
-118.11,34.0,33.0,2886.0,726.0,2650.0,728.0,2.625,<1H OCEAN
-118.42,34.2,34.0,161.0,48.0,66.0,33.0,1.0,<1H OCEAN
-117.85,33.77,16.0,2186.0,511.0,908.0,466.0,4.575,<1H OCEAN
-119.28,34.42,23.0,4763.0,828.0,2198.0,771.0,4.8105,NEAR OCEAN
-118.49,34.05,52.0,2416.0,291.0,810.0,270.0,13.8556,<1H OCEAN
-118.08,33.89,37.0,1152.0,259.0,981.0,225.0,3.2857,<1H OCEAN
-119.98,36.9,26.0,1284.0,239.0,820.0,254.0,2.5833,INLAND
-116.38,33.74,7.0,17579.0,3479.0,3581.0,1820.0,4.084,INLAND
-117.55,33.94,30.0,5398.0,926.0,2672.0,864.0,4.4762,INLAND
-122.26,38.36,25.0,1821.0,344.0,349.0,179.0,6.9931,INLAND
-122.11,37.14,29.0,3201.0,640.0,1722.0,570.0,4.4597,NEAR OCEAN
-119.3,34.39,35.0,3079.0,579.0,1807.0,589.0,4.69,NEAR OCEAN
-118.13,34.16,36.0,2162.0,658.0,1337.0,590.0,2.2095,<1H OCEAN
-117.91,33.62,35.0,2426.0,359.0,937.0,387.0,9.2175,<1H OCEAN
-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,<1H OCEAN
-118.14,33.97,36.0,1407.0,385.0,1763.0,350.0,2.6364,<1H OCEAN
-117.58,34.14,7.0,11818.0,1745.0,5499.0,1600.0,5.3678,INLAND
-116.86,33.97,11.0,658.0,131.0,376.0,120.0,2.3977,INLAND
-120.16,39.04,18.0,2040.0,402.0,350.0,129.0,4.0313,INLAND
-118.07,33.99,41.0,1204.0,252.0,1002.0,248.0,3.0577,<1H OCEAN
-120.99,37.8,32.0,2564.0,513.0,1198.0,459.0,2.9083,INLAND
-121.91,36.85,22.0,2442.0,624.0,1301.0,290.0,3.1563,NEAR OCEAN
-122.28,37.53,34.0,1980.0,385.0,970.0,391.0,5.1207,NEAR OCEAN
-117.99,33.71,19.0,1967.0,487.0,1251.0,404.0,3.6696,<1H OCEAN
